date,tweet,location,keyword
Tue Jul 16 10:10:28 +0000 2019,"Richard Flint, @YorkshireWater's long serving CEO has announced his retirement with Liz Barber to take his place. C… https://t.co/KfwgjQcRPH","Bradford, England",yorkshirewater
Wed Jul 17 13:05:00 +0000 2019,@StefanHowarth_ Rashy on fire breaking ankles,,fire
Wed Jul 17 11:58:13 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,,fire
Wed Jul 17 11:07:28 +0000 2019,"We have availability this weekend 
Mascots 
Crazy party fire engine 
Bouncy castles much much more x",,fire
Wed Jul 17 10:05:00 +0000 2019,"1 day Fire Safety course 
Suitable for fire marshals &amp; those with responsibility for #fire safety in the workplace… https://t.co/cpN1lmpgco",,fire
Wed Jul 17 02:57:58 +0000 2019,We will be announcing our penultimate band for our Forged in Fire Festival tonight at 7pm so watch this space ! https://t.co/CKCfyooQ2u,"{'id': '398701844252fc4a', 'url': 'https://api.twitter.com/1.1/geo/id/398701844252fc4a.json', 'place_type': 'city', 'name': 'Mirfield', 'full_name': 'Mirfield, England', 'country_code': 'GB', 'country': 'United Kingdom', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.726615, 53.657359], [-1.670297, 53.657359], [-1.670297, 53.695725], [-1.726615, 53.695725]]]}, 'attributes': {}}",fire
Wed Jul 17 00:19:25 +0000 2019,"I know its #bradford but even I was shocked to learn the murder victim in allerton was apparently kidnapped, had hi… https://t.co/qk5GCVXccS",,fire
Wed Jul 17 00:10:36 +0000 2019,@papiithbk The first one is complete fire!... Let's see if you smash it again 💙💛,,fire
Tue Jul 16 22:29:25 +0000 2019,"Hot chocolate, mash mellow and camp fire 🔥 the perfect end to a great day at East Barnby https://t.co/ezHTZAYA0o",,fire
Tue Jul 16 22:26:01 +0000 2019,Camp fire was very popular https://t.co/TjdJB5H9mV,,fire
Tue Jul 16 22:25:08 +0000 2019,I’m the fire starter🔥 https://t.co/Wa9E2UNX3w,,fire
Tue Jul 16 22:17:43 +0000 2019,"RT @DirectVoiceData: Are you #electrical and #security services due for renewal?

Fixed Wire Testing
Security Lighting
Cabling
CCTV Systems…",,fire
Tue Jul 16 21:43:12 +0000 2019,She set her self on fire ffs,,fire
